State/UT,No. of students (N),School Distance within 1km,School Distance within 1km (in %),School Distance (1-3 km),School Distance (1-3 km) (in %)
Andhra Pradesh,273.0,220.0,81.0,49.0,18.0
Assam,186.0,177.0,95.0,6.0,3.0
Bihar,200.0,182.0,91.0,18.0,9.0
Chandigarh,24.0,24.0,100.0,0.0,0.0
Haryana,103.0,93.0,90.0,9.0,9.0
Himachal Pradesh,93.0,78.0,84.0,15.0,16.0
Madhya Pradesh,144.0,133.0,92.0,10.0,7.0
Rajasthan,151.0,143.0,95.0,8.0,5.0
Tamil Nadu,211.0,178.0,84.0,31.0,15.0
Uttar Pradesh,246.0,226.0,92.0,20.0,8.0
West Bengal,159.0,113.0,71.0,37.0,23.0
Delhi,,,,,
Meghalaya,,,,,
Manipur,,,,,
Tripura,,,,,
Lakshadweep,,,,,
Uttarakhand,,,,,
Karnataka,,,,,
Punjab,,,,,
Dadra and Nagar Haveli,,,,,
Gujarat,,,,,
Maharashtra,,,,,
Nagaland,,,,,
Jharkhand,,,,,
Arunachal Pradesh,,,,,
Mizoram,,,,,
Andaman and Nicobar Islands,,,,,
Puducherry,,,,,
Orissa,,,,,
Goa,,,,,
Chhattisgarh,,,,,
Sikkim,,,,,
Daman and Diu,,,,,
Jammu and Kashmir,,,,,
Kerala,,,,,
